Code	Latitude	Longitude	Flow
FR	45.7675	2.9356	70.0
FR	44.9842	4.0856	86.0
FR	46.0678	3.6342	84.0
FR	42.6667	2.55	53.0
FR	42.7333	2.5833	54.0
FR	44.6833	3.4833	100.0
FR	47.7667	5.5333	150.0
FR	45.9667	3.7167	95.0
FR	45.7833	2.6	118.0
FR	46.0167	1.4167	107.0
FR	45.4667	2.3667	98.0
FR	46.65	2.8833	102.0
FR	45.25	3.2167	107.0
FR	45.0833	2.6833	105.0
FR	44.8333	1.9167	50.0
FR	48.0167	1.1167	72.0
FR	47.7167	6.6	108.0
FR	48.4683	7.75	98.0
FR	48.35	7.3167	98.0
FR	45.5667	1.1833	109.0
FR	46.35	5.1667	102.0
FR	49.15	6.65	62.0
FR	49.4333	6.2333	77.0
FR	47.25	6.0833	74.0
FR	48.3167	7.0667	90.0
FR	47.5	7.4667	70.0
FR	46.9833	-1.0	63.0
FR	46.9167	3.9333	78.0
FR	47.3667	-2.5333	60.0
FR	44.0333	3.9333	106.0
FR	44.5667	4.3167	80.0
FR	43.5833	2.0667	45.0
FR	43.45	3.5833	93.0
FR	44.25	3.05	80.0
FR	44.4167	3.05	100.0
FR	43.7	3.3667	91.0
FR	44.0167	2.6167	95.0
FR	43.5333	3.35	58.0
FR	47.2169	3.5683	103.0
FR	43.4506	1.3678	84.0
FR	46.0172	1.0183	108.0
FR	45.7672	0.185	70.0
FR	45.7517	0.1519	93.0
FR	48.3839	2.9181	69.0
FR	43.8525	5.7517	100.0
FR	48.8667	7.9167	121.0
FR	47.5833	0.9167	85.0
FR	48.6167	-0.3167	47.0
FR	48.4167	-1.35	66.0
FR	46.7	-1.3667	85.0
FR	47.4167	-1.2167	71.0
FR	47.6833	-2.2	95.0
FR	48.2833	-2.9167	53.0
FR	48.4667	-3.6	83.0
FR	47.9333	-1.55	36.0
FR	47.3833	1.4833	105.0
FR	44.7167	4.4833	86.0
FR	47.0667	2.6	94.0
FR	45.1833	2.1	78.0
FR	54.5333	2.3333	91.0
FR	46.9833	-0.9333	75.0
FR	45.8833	1.6	96.0
FR	49.5333	2.7	68.0
FR	48.9833	1.55	63.0
FR	48.85	1.85	54.0
FR	48.5833	6.3667	72.0
FR	47.85	7.2667	86.0
FR	45.4333	0.4167	65.0
FR	47.6167	3.5	70.0
FR	45.75	0.1667	65.0
FR	48.2	6.0	63.0
FR	46.8333	0.6667	82.0
FR	48.2167	6.1667	78.0
FR	45.7667	5.9	70.0
FR	43.8333	4.8667	46.0
FR	48.7333	3.55	67.0
FR	44.65	3.1	99.0
FR	44.7167	3.3	92.0
FR	44.7167	2.7667	65.0
FR	45.1333	3.15	65.0
FR	45.0167	3.1	91.0
FR	45.3833	3.15	90.0
FR	43.6667	4.3	68.0
FR	43.7	5.3333	96.0
FR	46.7833	6.0667	61.0
FR	44.7833	4.9667	59.0
FR	47.8667	7.2333	109.0
FR	43.7167	-0.6333	96.0
FR	43.6833	-0.3667	95.0
FR	43.4667	-1.2167	70.0
FR	43.6333	-0.95	77.0
FR	43.4667	-0.85	64.0
FR	43.1833	0.0167	166.0
FR	43.5167	-0.3167	93.0
FR	44.0	-0.2	63.0
FR	46.2667	5.0	98.0
FR	46.1167	6.0333	51.0
FR	46.6667	4.9333	102.0
FR 1	46.5167	5.0167	121.0
FR 1	48.9011	7.2017	96.0
FR 1	48.2689	4.7178	96.0
FR 1	47.3669	4.0339	150.0
FR 1	47.9	3.5667	146.0
FR 1	47.5189	2.5686	92.0
FR 1	48.6181	3.4856	104.0
FR 1	47.8853	3.4689	133.0
FR 1	48.4686	2.6192	104.0
FR 1	48.5003	5.8511	125.0
FR 1	47.3833	1.4833	146.0
FR 1	48.9167	2.9192	83.0
FR 1	48.4506	6.0833	117.0
FR 1	48.4003	5.3358	117.0
FR 1	49.1856	1.7	108.0
FR 1	47.3853	1.95	133.0
FR 1	48.7678	5.5017	108.0
FR 1	47.8678	1.35	88.0
FR 1	48.5003	2.735	104.0
FR 1	49.1836	6.3339	117.0
FR 1	47.9342	3.8014	108.0
FR 1	47.6858	2.8183	117.0
FR 1	48.8167	5.7511	100.0
FR 1	49.6522	4.2847	117.0
FR 1	49.5003	2.3858	113.0
FR 1	49.535	2.3681	96.0
FR 1	49.2189	5.3025	50.0
FR 1	48.2858	2.7678	108.0
FR 1	49.1672	3.5	83.0
FR 1	48.6353	6.0	175.0
FR 1	48.8669	5.7178	100.0
FR 1	45.5003	5.4011	96.0
FR 1	46.2022	4.9342	108.0
FR 1	46.0172	5.1347	96.0
FR 1	45.8686	5.2356	113.0
FR 1	46.4525	5.1347	100.0
FR 1	43.6836	3.9514	88.0
FR 1	44.0003	3.9344	150.0
FR 1	43.5833	5.3167	54.0
FR 1	42.5853	2.9683	96.0
FR 1	43.3692	3.7347	71.0
FR 1	46.3181	5.4003	83.0
FR 1	43.1519	3.2525	54.0
FR 1	43.8669	5.7511	117.0
FR 1	44.6167	4.8672	75.0
FR 1	44.1181	5.85	63.0
FR 1	46.5175	5.0022	121.0
FR 1	44.3342	4.2175	67.0
FR 1	45.0839	5.1853	104.0
FR 1	46.0347	6.1836	58.0
FR 1	43.2525	3.3175	63.0
FR 1	46.5014	4.9844	129.0
FR 1	44.3183	5.9172	83.0
FR 1	46.6519	5.635	125.0
FR 1	43.7183	3.6675	108.0
FR 1	43.1511	-0.0844	50.0
FR 1	44.6353	-0.8839	63.0
FR 1	43.4525	-1.2017	70.0
FR 1	43.8667	-0.4853	96.0
FR 1	43.3522	-0.75	54.0
FR 1	44.3853	0.1344	71.0
FR 1	44.3833	0.2189	79.0
FR 1	43.6356	0.4019	79.0
FR 1	44.0853	0.7356	108.0
FR 1	42.9186	1.8503	121.0
FR 1	43.2172	0.4006	96.0
FR 1	44.3347	-0.0667	100.0
FR 1	45.1172	-0.1517	100.0
FR 1	45.0842	-0.7186	108.0
FR 1	43.2667	1.4019	79.0
FR 1	44.2175	-0.1836	96.0
FR 1	45.0856	-1.1339	108.0
FR 1	44.1833	1.2	71.0
FR 1	43.5178	0.8686	79.0
FR 1	45.2525	-0.2508	92.0
FR 1	44.585	-1.0167	121.0
FR 1	43.7333	-1.1178	88.0
FR 1	43.1347	-0.6836	92.0
FR 1	44.2017	-0.6836	63.0
FR 1	48.4692	7.7356	167.0
FR 1	48.7842	7.7836	146.0
FR 1	48.885	8.0667	108.0
FR 1	45.7667	3.1675	92.0
FR 1	45.7667	3.1667	88.0
FR 1	45.835	3.3178	96.0
FR 1	45.8667	3.15	117.0
FR 1	45.8333	3.1	117.0
FR 1	45.9347	3.2336	125.0
FR 1	45.8833	3.1167	117.0
FR 1	45.8681	3.185	125.0
FR 1	45.8333	2.15	98.0
FR 1	45.7	2.15	88.0
FR 1	46.1	1.0667	87.0
FR 1	46.0167	1.3167	106.0
FR 1	46.0833	1.3833	93.0
FR 1	46.3833	1.5	114.0
FR 1	45.0833	1.0833	90.0
FR 1	45.7833	2.8167	110.0
FR 1	43.6833	2.3833	82.0
FR 2	43.6833	4.4333	80.0
FR 2	43.4167	5.6667	30.0
FR 2	44.7	5.2667	66.0
FR 2	42.8167	5.2667	85.0
FR 2	44.3	4.9167	57.0
FR 2	45.2	4.9333	69.0
FR 2	45.4	5.1667	88.0
FR 2	43.8333	4.55	66.0
FR 2	44.6167	4.8667	63.0
FR 2	45.45	5.5333	84.0
FR 2	44.6	4.7667	60.0
FR 2	44.1333	4.3167	78.0
FR 2	43.6833	3.95	56.0
FR 2	43.7167	4.15	56.0
FR 2	44.1667	4.3	64.0
FR 2	43.8167	3.95	62.0
FR 2	44.4167	4.3833	61.0
FR 2	44.5	4.5833	70.0
FR 2	43.7167	4.2	70.0
FR 2	44.5667	4.5	72.0
FR 2	42.7	3.0	59.0
FR 2	42.6	2.9667	54.0
FR 2	43.6	4.2833	61.0
FR 2	43.4667	4.8667	55.0
FR 2	43.5667	4.1667	51.0
FR 2	43.6667	4.3	71.0
FR 2	43.65	4.2667	68.0
FR 2	43.7333	3.6667	55.0
FR 2	43.75	5.8833	95.0
FR 2	44.0667	6.0667	83.0
FR 2	43.3833	3.5833	49.0
FR 2	43.35	3.4667	58.0
FR 2	44.7833	4.9667	76.0
FR 2	48.9008	7.8686	167.0
DD	51.45	10.5833	44.0
DD	51.8347	11.6181	70.0
DD	51.6	11.05	65.0
DD	50.5847	12.4014	60.0
DD	50.5347	11.2167	52.0
DD	50.7347	12.5681	55.0
DD	50.9833	13.6347	25.0
DD	50.8667	13.3167	85.0
DD	50.9014	13.3347	71.0
DD	50.7667	13.7014	92.0
DD	50.8514	10.1	63.0
DD	53.8	11.05	62.0
DD	52.4333	10.9833	48.0
DD	51.85	11.1333	53.0
DD	52.0181	10.7	68.0
DD	52.0844	11.0667	64.0
DD	52.1672	11.1514	62.0
DD	52.5508	11.1681	74.0
DD	52.5344	11.2181	67.0
DD	52.5017	11.25	58.0
DD	52.4844	11.4	64.0
DD	52.3833	11.3833	60.0
DD	52.3844	11.4181	64.0
DD	52.2667	11.5681	68.0
DD	52.2847	11.5847	67.0
DD	52.3	11.7681	96.0
DD	52.5517	11.6514	50.0
DD	52.6181	11.8847	70.0
DD	52.7344	11.4347	75.0
DD	52.8	11.4847	100.0
DD	52.85	11.3181	85.0
DD	52.7672	10.85	91.0
DD	52.6672	10.9167	101.0
DD	52.8681	11.6	78.0
DD	52.7833	12.3333	65.0
DD	52.9844	12.1675	64.0
DD	53.0344	12.2014	58.0
DD	53.0836	12.3014	59.0
DD	53.1344	12.4014	65.0
DD	53.1689	11.6167	54.0
DD	51.2167	10.7014	54.0
DD	51.2333	10.7167	60.0
DD	51.2333	10.7167	57.0
DD	51.1333	10.5667	53.0
DD	51.1333	10.5681	51.0
DD	51.15	10.5667	56.0
DD	51.0014	10.6333	75.0
DD	51.0167	10.5014	80.0
DD	51.0167	10.55	72.0
DD	51.0189	10.5347	64.0
DD	51.0333	10.5333	70.0
DD	50.9	11.15	45.0
DD	51.0181	11.2181	44.0
DD	51.0344	10.8014	83.0
DD	51.05	10.7333	61.0
DD	51.05	10.7667	73.0
DD	51.0667	10.7667	72.0
DD	50.8847	10.6847	85.0
DD	51.2014	11.1014	60.0
DD	50.9014	10.75	101.0
DD	51.0167	10.45	98.0
DD	51.0333	10.4667	85.0
DD	51.0347	10.4167	85.0
DD	51.0347	10.5014	72.0
DD	51.2	10.3014	88.0
DD	51.2167	10.2667	91.0
DD	51.2167	10.2833	96.0
DD	51.2167	10.2847	108.0
DD	51.1667	10.3333	67.0
DD	51.0667	10.4167	93.0
DD	51.0344	11.6167	64.0
DD	51.1681	10.7014	82.0
DD	51.2	10.65	64.0
DD	51.2	10.6667	64.0
DD	51.2008	10.6667	63.0
DD	51.2014	10.6333	46.0
DD	50.9522	10.6847	67.0
DD	50.9667	10.6	66.0
DD	50.9667	10.65	70.0
DD	50.9667	10.6681	67.0
DD	50.9681	10.65	80.0
DD	51.1167	10.7	70.0
DD	51.1183	10.6833	92.0
DD	51.1333	10.6667	80.0
DD	51.15	10.6347	79.0
DD	50.95	10.5181	65.0
DD	50.9667	10.5167	75.0
DD	50.9667	10.5167	70.0
DD	51.2019	10.55	45.0
DD	51.2167	10.4681	60.0
DD	51.2167	10.5167	50.0
DD	51.2167	10.5333	39.0
DD	51.25	10.5333	56.0
DD	50.95	10.8514	44.0
DD	50.8514	10.7667	94.0
DD	51.15	11.3	33.0
DD	51.3	10.4514	63.0
DD	51.1	11.2	57.0
DD	51.1514	10.9667	67.0
DD	51.3167	10.5347	78.0
DD	51.05	10.6	67.0
DL	52.1836	10.4008	71.0
DL	51.6014	10.0014	56.0
DL	50.7514	7.9356	58.0
DL	50.5672	7.5169	58.0
DL	49.4014	12.1692	72.0
DL	47.8517	7.6342	70.0
DL	47.7844	11.0511	79.0
DL	49.3022	6.985	68.0
DL	49.3333	7.0667	71.0
DL	49.3333	7.0667	62.0
DL	49.3333	7.0833	52.0
DL	49.3333	7.0833	53.0
DL	49.3342	7.0667	66.0
DL	50.3847	9.1189	70.0
DL	49.8686	12.0353	64.0
DL	49.7678	8.5672	69.0
DL	49.5847	11.6181	62.0
DL	49.4339	12.1019	66.0
DL	49.1022	9.0692	102.0
DL	48.8508	13.3858	76.0
DL	48.7189	8.6667	70.0
DL	48.6692	8.6517	72.0
DL	48.4847	10.1356	71.0
DL	48.4186	9.6858	71.0
DL	48.3342	9.9333	88.0
DL	47.75	8.8667	69.0
DL	47.5503	10.7181	84.0
DL	47.5503	10.7181	92.0
DL	47.5503	10.7181	88.0
DL	47.985	11.1178	70.0
DL	47.985	11.1178	75.0
DL	47.985	11.1178	72.0
DL	47.75	9.1675	69.0
DL	47.6836	9.2167	71.0
DL	47.6836	9.2167	58.0
DL	47.6836	9.2167	64.0
DL	47.6519	9.2667	65.0
DL	47.6183	9.4511	75.0
DL	47.6183	9.4511	81.0
DL	47.6183	9.4511	85.0
DL	47.6183	9.4511	80.0
DL	47.5181	9.4667	79.0
DL	47.5	9.5333	77.0
DL	47.4667	9.6333	56.0
DL	47.4667	9.6333	58.0
DL	47.4667	9.6333	57.0
DL	47.8678	8.0333	58.0
DL	47.8678	8.0333	72.0
DL	47.8678	8.0333	65.0
DL	51.6508	10.335	59.0
DL	51.6508	10.335	68.0
DL	51.6508	10.335	60.0
DL	51.6508	10.335	52.0
DL	51.6508	10.335	53.0
DL	51.6508	10.335	59.0
DL	50.4022	7.2675	75.0
DL	50.4022	7.2675	70.0
DL	50.4022	7.2675	73.0
DL	50.1333	6.9181	66.0
DL	50.1333	6.9181	59.0
DL	50.1333	6.9181	59.0
DL	50.1333	6.9181	61.0
DL	47.7186	11.8522	60.0
DL	47.7186	11.8522	67.0
DL	47.7186	11.8522	64.0
DL	50.1683	6.8514	60.0
DL	52.0017	7.3347	58.0
DL	53.7525	10.0856	47.0
DL	53.6508	9.7189	52.0
DL	50.1017	11.6847	56.0
DL	48.8339	10.6342	64.0
DL	49.2175	8.1356	134.0
DL	49.2189	8.1344	139.0
DL	49.2336	8.1342	116.0
DL	49.2339	8.1344	125.0
DL	49.2514	8.1339	111.0
DL	48.5508	7.9019	92.0
DL	47.9011	11.3022	86.0
DL	47.9011	11.3022	78.0
DL	47.9011	11.3022	82.0
DL	47.9011	11.3022	88.0
DL	47.9011	11.3022	96.0
DL	47.9011	11.3022	73.0
DL	47.9011	11.3022	93.0
DL	47.9011	11.3022	81.0
DL	47.9011	11.3022	77.0
DL	47.9011	11.3022	77.0
DL	47.9011	11.3022	84.0
DL	47.9011	11.3022	85.0
DL	47.9011	11.3022	83.0
DL	47.9011	11.3022	74.0
DL	47.9011	11.3022	80.0
DL	47.9011	11.3022	74.0
DL	47.9011	11.3022	82.0
DL	47.9506	11.3353	86.0
DL	47.9506	11.3353	90.0
DL	47.9506	11.3353	102.0
DL	47.9506	11.3353	108.0
DL	47.9506	11.3353	97.0
DL	47.8503	11.3181	107.0
DL	47.8503	11.3181	70.0
DL	47.8503	11.3181	68.0
DL	47.8503	11.3181	82.0
DL	47.5839	11.3508	78.0
DL	47.5839	11.3508	65.0
DL	47.5839	11.3508	67.0
DL	47.5839	11.3508	70.0
DL	47.5839	11.3508	100.0
DL	47.5839	11.3508	76.0
DL	47.5181	12.9514	81.0
DL	47.5181	12.9514	79.0
DL	47.5181	12.9514	70.0
DL	47.5181	12.9514	76.0
DL	52.3353	9.885	55.0
DL	50.3689	9.2503	73.0
DL	48.6006	10.3008	82.0
DL	53.6669	10.0181	49.0
DL	48.9522	11.6847	75.0
DL	49.835	6.6347	64.0
DL	54.385	8.8522	21.0
DL	50.0667	12.15	59.0
DL	50.7833	8.7506	69.0
DL	50.8008	8.8833	72.0
DL	50.5183	9.2847	66.0
DL	48.8339	10.6342	81.0
DL	48.885	10.5014	73.0
DL	50.3333	7.3667	62.0
DL	51.0833	6.4167	60.0
DL	49.1667	7.0833	59.0
DL	50.8833	8.1167	55.0
DL	49.8333	12.0	78.0
DL	48.5	9.3667	86.0
DL	47.7833	8.7667	64.0
DL	49.0333	10.3667	82.0
DL	50.1833	6.8333	61.0
DL	48.0667	9.0333	70.0
DL	48.0833	8.9	67.0
DL	48.7833	9.6667	80.0
DL	48.3667	9.6167	78.0
DL	48.1333	9.4833	88.0
DL	51.2667	6.8833	54.0
DL	48.7	8.1167	116.0
DL	49.8	7.1	54.0
DL	49.9833	7.6667	64.0
DL	50.1333	8.1333	47.0
DL	50.3	8.5833	31.0
DL	50.4167	7.8333	52.0
DL	50.6333	8.3	66.0
DL	50.5333	6.3833	32.0
DL	50.4167	6.55	51.0
DL	50.2833	6.7	56.0
DL	50.6	6.9333	59.0
DL	50.7833	7.5833	76.0
PL	54.1167	15.6667	65.0
PL	53.8667	20.0	40.0
PL	53.7833	19.2167	41.0
PL	54.7833	18.0833	47.0
PL	54.7167	17.4167	45.0
PL	53.6833	14.5	73.0
PL	54.05	16.5167	41.0
PL	53.75	15.4	54.0
PL	53.7667	15.05	46.0
PL	52.45	14.7167	81.0
PL	53.55	21.0833	28.0
PL	53.3667	20.2667	35.0
PL	52.5	22.1333	41.0
PL	52.4833	22.7333	48.0
PL	51.8167	22.65	21.0
PL	53.4333	18.8333	42.0
PL	51.8667	21.5833	33.0
PL	51.7833	21.0667	42.0
PL	52.5833	20.45	41.0
PL	53.75	16.0833	51.0
PL	53.9167	14.45	69.0
PL	52.0167	19.0333	69.0
PL	52.7333	18.45	91.0
PL	52.6333	18.35	85.0
PL	54.2333	20.95	34.0
PL	52.3333	23.0333	37.0
PL	51.4	17.9	56.0
PL	51.8167	16.1833	72.0
PL	49.9667	19.9667	56.0
PL	50.3667	20.9833	46.0
PL	50.0167	20.3833	60.0
PL	49.7667	20.8667	65.0
PL	49.9333	18.9667	58.0
PL	50.2667	19.1333	54.0
PL	49.7167	19.1333	42.0
PL	49.6833	22.55	27.0
PL	49.2667	22.5	43.0
PL	54.2833	17.6	33.0
PL	51.2667	21.6333	37.0
PL	54.1667	21.5	24.0
PL	52.5667	21.7	52.0
PL	52.2833	21.3	90.0
PL	50.4167	23.5833	57.0
PL	54.1833	15.7667	52.0
PL	51.4167	22.3167	44.0
PL	50.8667	18.8	49.0
PL	51.6333	22.3333	49.0
PL	51.2	21.25	39.0
PL	51.0833	18.8833	66.0
PL	51.05	23.0667	54.0
PL	52.9	22.3	38.0
PL	54.2333	22.85	36.0
PL	54.25	22.9667	35.0
PL	51.35	23.05	75.0
PL	52.8833	18.7833	52.0
RO	47.4667	26.0833	39.0
RO	47.2511	25.685	45.0
RO	47.2167	22.2167	94.0
RO	47.1333	26.4167	43.0
RO	47.1181	24.5011	58.0
RO	47.0519	24.1675	33.0
RO	47.05	26.4167	58.0
RO	46.9336	24.2683	45.0
RO	46.8167	27.15	39.0
RO	46.6692	24.8689	33.0
RO	46.6519	25.7842	57.0
RO	46.6167	26.4833	47.0
RO	46.5858	25.5006	77.0
RO	46.5522	24.9014	39.0
RO	46.5167	24.75	74.0
RO	46.5	26.6667	54.0
RO	46.3853	25.4183	113.0
RO	46.3506	25.5178	104.0
