Název|Hlavní poznávací znaky, minerály (důležité pro identifikaci)|Původ
granit (žula)|jemnozrnný až hrubozrnný, barva světlá, červená, šedá, obs. biotit (příp. muskovit), K-živec|magmatická
granodiorit|jemnozrnný až hrubozrnný, porfyrický, barva celkově světlá, obs. biotit (příp. amfibol) |magmatická
tonalit|jemnozrnný až hrubozrnný, porfyrický, barva celkově světlá, obs. biotit (příp. amfibol)|magmatická
kvarcdiorit|jemnozrnný až hrubozrnný, porfyrický, barva celkově světlá, obs. biotit (příp. amfibol)|magmatická
diorit|jemnozrnný až středně zrnitý, skvrnitý, středně tmavý, obs. amfibol, pyroxen, málo biotitu|magmatická
gabro|jemnozrnné až středně zrnité, tmavé, obsahuje hlavně amfibol a pyroxen, příp. olivín|magmatická
peridotit|velmi jemnozrnný až středně zrnitý, tmavě šedý až černý se zelenavým odstínem|magmatická
pyroxenit|velmi jemnozrnný až středně zrnitý, černý nebo žlutohnědě lesklý (ortopyroxen: bronzit)|magmatická
hornblendit|černý, složený ze sloupečků černého amfibolu|magmatická
durbachit|tmavý, bohatý biotitem, často porfyrický, s bělavými vyrostlicemi K-živce (dvojčatění)|magmatická
syenit|jemnozrnný až středně zrnitý, tmavý, obs. různě biotit, amfibol, pyroxen|magmatická
monzonit|jemnozrnný až středně zrnitý, tmavý, obs. různě biotit, amfibol, pyroxen|magmatická
pegmatit|velmi hrubozrnný s krystaly živce, křemene, příp. slíd|magmatická
porfyr|žilná hornina s výraznou porfyrickou strukturou (živcové vyrostlice x velmi jemnozr. matrix)|magmatická
pegmatit|žilná hornina, velmi hrubozrnná, obvykle z křemene, živce, slíd|magmatická
aplit|žilná hornina, velmi jemnozrnný, bělošedý (světlý), obsahuje drobná zrnka křemene a živce|magmatická
spessartit|lamprofyr, velmi jemnozrnný, černý, drobounké jehličky a sloupečky amfibolu|magmatická
mineta, kersantit|lamprofyr, jemnozrnný, tmavě šedý až černošedý, s lupínky a šupinami tmavě hnědého biotitu|magmatická
camptonit|lamprofyr, černošedý, s vyrostlicemi amfibolu a bílými výplněni živce a foidů (analcim)|magmatická
monchiquit|lamprofyr, tmavě šedý, hojné vyrostlice klinopyroxenu, amfibolu, bělavý analicm, příp. živec|magmatická
ryolit (křem. porfyr)|celistvý až jemnozrnný, barva červenavá, růžová, bílá, bělošedá, s drobnými|magmatická
dacit (křem. porfyrit)|vyrostlicemi křemene (sklovitý dojem), příp. živce, může být pórovitý|magmatická
andezit|celistvý až jemnozrnný, většinou šedý až tmavošedý, může obsahovat vyrostlice (např. živce)|magmatická
bazalt (čedič)|velmi jemnozrnný až celistvý, barva černá, těžký, může obsahovat zrna olivínu|magmatická
tefrit|velmi jemnozrnný až celistvý, barva černá, těžký, může obsahovat zrna olivínu|magmatická
bazanit|velmi jemnozrnný až celistvý, barva černá, těžký, může obsahovat zrna olivínu|magmatická
nefelinit|velmi jemnozrnný až celistvý, barva černá, těžký, může obsahovat zrna olivínu|magmatická
leucitit|velmi jemnozrnný až celistvý, barva černá, těžký, může obsahovat zrna olivínu|magmatická
mandlovec|velmi jemnozrnný, celistvý, s mandlemi (kalcit, chalcedon, chlorit), barva fialovohnědá až šedá|magmatická
variolit|celistvý, černošedý, obsahuje světlé oválné varioly (do 4 mm)|magmatická
diabas|zelenavě černý, jemnozrnný, všesměrně zrnitý, často ofitická struktura|magmatická
spilit|nazelenale černošedý, celistvý až velmi jemnozrrný, masivní|magmatická
trachyt|jemnozrnný, (1) šedý, (2) trachytická struktura, (3) rhombový porfyr s vyrostlicemi K-živce|magmatická
latit|jemnozrnný, (1) šedý, (2) trachytická struktura, (3) rhombový porfyr s vyrostlicemi K-živce|magmatická
fonolit (znělec)|celistvý, příp. velmi jemnozrnný, barva šedá se zelenavým odstínem, drobné lišty živce|magmatická
obsidián vulkanické sklo|černé nebo kouřově tmavé, lasturnatý lom|magmatická
