mating	feed	time
mated	starved	125
mated	starved	540
mated	starved	5
mated	starved	240
mated	starved	5
mated	starved	300
mated	starved	305
mated	starved	120
mated	starved	65
mated	starved	300
mated	satiated	1020
mated	satiated	540
mated	satiated	3600
mated	satiated	1320
mated	satiated	485
mated	satiated	20
mated	satiated	10
mated	satiated	600
mated	satiated	445
mated	satiated	2100
virgin	starved	120
virgin	starved	5
virgin	starved	125
virgin	starved	300
virgin	starved	5
virgin	starved	5
virgin	starved	600
virgin	starved	180
virgin	starved	5
virgin	starved	10
virgin	satiated	3000
virgin	satiated	2400
virgin	satiated	1800
virgin	satiated	300
virgin	satiated	600
virgin	satiated	5
virgin	satiated	30
virgin	satiated	5
virgin	satiated	60
virgin	satiated	20
