rok	relatRok	Mcode	Fcode	nest	nrYoung	EPPyoung	relatEP	minutes	NrfeedM	NrfeedF	feedhourM	feedhourF	Hue	Satur	Bright	EPP	obsour	relativeTiming
2001	1	55	56	5	5	2	0.40	240	2	4	0.5	1	-0.8	60.3	70.5	1	0	9
2001	1	61	62	16	5	4	0.80	240	3	4	0.75	1	-2.67	45.17	50.83	1	0	10
2001	1	73	1000	1	6	0	0.00	240	3	3	0.75	0.75	-3.08	62.17	55.92	0	0	3
2001	1	86	87	13	6	3	0.50	240	3	3	0.75	0.75	4.55	53.22	79	1	0	7
2002	2	86	219	12	5	1	0.20	360	5	6	0.83	1	0.58	55.42	56.08	1	0	10
2004	3	86	192	6	5	0	0.00	186	2	2	0.65	0.65	-6.44	48.22	60.88	0	0	2
2001	1	94	95	10	5	0	0.00	240	5	4	1.25	1	0.25	60	44.92	0	1	3
2004	2	94	422	13	3	3	1.00	350	5	5	0.86	0.86	-0.08	63.92	43.58	1	0	7
2005	3	94	24	2	5	0	0.00	330	4	3	0.72	0.54	-0.55	75.36	46.64	0	1	1
2001	1	108	18	17	5	0	0.00	240	3	4	0.75	1	-3	49.18	79.37	0	0	9
2001	1	115	116	6	4	0	0.00	240	1	3	0.25	0.75	-9.1	62	65.7	0	0	5
2001	1	121	122	3	4	0	0.00	240	4	4	1	1	2	69	47.25	0	0	3
2004	1	131	205	3	5	1	0.20	420	5	7	0.71	1	3.27	69.18	56.36	1	0	1
2002	1	149	150	3	5	0	0.00	390	6	8	0.92	1.23	-2.83	51.92	57	0	0	7
2002	1	198	199	9	4	0	0.00	380	8	8	1.23	1.23	0.17	53.5	54.5	0	0	5
2002	1	211	132	100	5	5	1.00	210	1	3	0.29	0.86	2.66	62.08	71.25	1	0	11
2003	2	211	102	8	5	2	0.40	360	7	5	1.167	0.83	2.33	57	63.67	1	0	3
2004	3	211	301	9	5	2	0.40	102	3	2	1.6	1.07	0.67	67.42	50.25	1	1	9
2002	1	225	87	13	5	2	0.40	380	3	9	0.46	1.5	8.2	61.4	94.3	1	0	10
2004	1	232	199	12	3	0	0.00	410	6	7	0.88	1.02	0.36	64.73	55.27	0	0	1
2003	1	240	241	2	4	0	0.00	360	6	5	1	0.83	-1.83	54.67	58.58	0	0	6
2003	1	246	247	3	5	0	0.00	360	5	5	0.83	0.83	0.73	51	76.54	0	0	5
2004	2	246	247	2	3	0	0.00	180	2	2	0.67	0.67	1.08	63.83	45.75	0	1	4
2003	1	253	254	5	5	0	0.00	360	4	3	0.67	0.5	-2.4	48.7	62.8	0	0	7
2006	2	253	630	25	5	0	0.00	360	3	3	0.5	0.5	12.42	68.08	92	0	0	4
2008	3	253	715	1	5	4	0.80	360	5	7	0.83	1.17	3.25	73.58	70.92	1	0	9
2003	1	260	261	6	4	0	0.00	360	5	7	0.83	1.167	0.83	59.42	68.83	0	0	3
2003	1	318	319	17	5	0	0.00	360	4	6	0.67	1	-1.16	53.42	68.92	0	0	3
2004	2	318	319	10	1	0	0.00	390	3	3	0.46	0.46	-0.33	59.42	46	0	0	5
2004	1	325	294	7	4	1	0.25	360	3	3	0.5	0.5	0.5	52.58	47.33	1	0	3
2004	1	350	351	1	2	0	0.00	450	5	7	0.67	0.93	-0.82	64.36	53.45	0	0	6
2004	1	374	375	5	3	3	1.00	430	7	4	0.98	0.7	0.75	65.75	53.08	1	0	1
2004	1	392	393	8	5	1	0.20	380	5	4	0.79	0.63	1.17	62.25	49.42	1	0	5
2006	1	469	597	13	4	0	0.00	360	3	4	0.5	0.67	3.82	79.09	63.55	0	0	1
2005	1	475	476	5	4	1	0.25	420	6	5	0.86	0.71	1.36	51	78.45	1	0	6
2005	1	481	375	6	4	2	0.50	370	5	6	0.81	0.97	-4.67	78.92	67.75	1	0	6
2005	1	514	515	15	5	0	0.00	380	0	7	0	1.1	-5.3	59.5	67.9	0	0	6
2007	1	541	205	6	6	2	0.33	360	5	7	0.83	1.17	2	80.67	55.92	1	0	4
2006	1	581	582	10	5	0	0.00	360	4	5	0.67	0.83	6.17	70.9	43.75	0	0	8
2006	1	589	590	11	5	1	0.20	360	5	5	0.83	0.83	3.55	75	47	1	0	4
2006	1	602	603	15	4	0	0.00	360	7	3	0.67	0.67	2.83	70.08	43.83	0	0	1
2007	2	602	515	10	5	2	0.40	360	4	7	0.67	1.17	1.55	73.45	37.82	1	0	1
2007	1	608	528	9	5	0	0.00	360	7	7	1.17	1.17	2.4	67.4	49.5	0	1	1
2008	2	608	693	2	5	0	0.00	360	8	4	1.33	0.67	4.92	69.83	76.75	0	0	8
2007	1	640	641	2	5	0	0.00	360	1	8	0.17	1.33	2.4	81.8	56	0	0	1
2007	1	647	648	3	3	0	0.00	360	5	7	0.83	1.17	-1.1	75.5	65.1	0	0	3
2007	1	692	693	11	5	2	0.40	300	3	4	0.6	0.8	2.5	78.83	70.25	1	0	7
2007	1	705	706	15	5	0	0.00	360	5	5	0.83	0.83	3.2	68.9	56.5	0	0	5
2008	1	734	205	3	6	0	0.00	360	7	9	1.17	1.5	5	71.58	74.5	0	0	7
2008	1	755	476	8	4	1	0.25	360	6	6	1	1	1.33	73.42	82.58	1	0	8
