"Month"	"Temperature"	"Year"	"nMonth"	"Date"	"Time"
"1"	"Jan"	3	1659	1	"1659-01-15"	-113.576
"358"	"Feb"	4	1659	2	"1659-02-15"	-113.545
"1072"	"Apr"	7	1659	4	"1659-04-15"	-113.486
"1786"	"Jun"	13	1659	6	"1659-06-15"	-113.425
"2143"	"Jul"	16	1659	7	"1659-07-15"	-113.395
"2500"	"Aug"	16	1659	8	"1659-08-15"	-113.364
"2857"	"Sep"	13	1659	9	"1659-09-15"	-113.333
"3571"	"Nov"	5	1659	11	"1659-11-15"	-113.272
"2"	"Jan"	0	1660	1	"1660-01-15"	-113.211
"359"	"Feb"	4	1660	2	"1660-02-15"	-113.18
"1073"	"Apr"	9	1660	4	"1660-04-15"	-113.12
"1787"	"Jun"	14	1660	6	"1660-06-15"	-113.059
"2144"	"Jul"	15	1660	7	"1660-07-15"	-113.029
"2501"	"Aug"	16	1660	8	"1660-08-15"	-112.998
"2858"	"Sep"	13	1660	9	"1660-09-15"	-112.967
"3572"	"Nov"	6	1660	11	"1660-11-15"	-112.906
"3"	"Jan"	5	1661	1	"1661-01-15"	-112.845
"360"	"Feb"	5	1661	2	"1661-02-15"	-112.814
"1074"	"Apr"	8	1661	4	"1661-04-15"	-112.755
"1788"	"Jun"	14	1661	6	"1661-06-15"	-112.694
"2145"	"Jul"	15	1661	7	"1661-07-15"	-112.664
"2502"	"Aug"	15	1661	8	"1661-08-15"	-112.633
"2859"	"Sep"	13	1661	9	"1661-09-15"	-112.602
"3573"	"Nov"	8	1661	11	"1661-11-15"	-112.541
"4"	"Jan"	5	1662	1	"1662-01-15"	-112.48
"361"	"Feb"	6	1662	2	"1662-02-15"	-112.449
"1075"	"Apr"	8	1662	4	"1662-04-15"	-112.39
"1789"	"Jun"	15	1662	6	"1662-06-15"	-112.329
"2146"	"Jul"	15	1662	7	"1662-07-15"	-112.299
"2503"	"Aug"	15	1662	8	"1662-08-15"	-112.268
"2860"	"Sep"	13	1662	9	"1662-09-15"	-112.237
"3574"	"Nov"	6	1662	11	"1662-11-15"	-112.176
"5"	"Jan"	1	1663	1	"1663-01-15"	-112.115
"362"	"Feb"	1	1663	2	"1663-02-15"	-112.084
"1076"	"Apr"	7	1663	4	"1663-04-15"	-112.025
"1790"	"Jun"	14	1663	6	"1663-06-15"	-111.964
"2147"	"Jul"	15	1663	7	"1663-07-15"	-111.934
"2504"	"Aug"	15	1663	8	"1663-08-15"	-111.903
"2861"	"Sep"	13	1663	9	"1663-09-15"	-111.872
"3575"	"Nov"	7	1663	11	"1663-11-15"	-111.811
"6"	"Jan"	4	1664	1	"1664-01-15"	-111.75
"363"	"Feb"	5	1664	2	"1664-02-15"	-111.719
"1077"	"Apr"	8	1664	4	"1664-04-15"	-111.659
"1791"	"Jun"	15	1664	6	"1664-06-15"	-111.598
"2148"	"Jul"	16	1664	7	"1664-07-15"	-111.568
"2505"	"Aug"	16	1664	8	"1664-08-15"	-111.537
"2862"	"Sep"	13	1664	9	"1664-09-15"	-111.506
"3576"	"Nov"	6	1664	11	"1664-11-15"	-111.445
"7"	"Jan"	1	1665	1	"1665-01-15"	-111.384
"364"	"Feb"	1	1665	2	"1665-02-15"	-111.353
"1078"	"Apr"	7	1665	4	"1665-04-15"	-111.294
"1792"	"Jun"	14	1665	6	"1665-06-15"	-111.233
"2149"	"Jul"	16	1665	7	"1665-07-15"	-111.203
"2506"	"Aug"	15	1665	8	"1665-08-15"	-111.172
"2863"	"Sep"	13	1665	9	"1665-09-15"	-111.141
"3577"	"Nov"	6	1665	11	"1665-11-15"	-111.08
"8"	"Jan"	4	1666	1	"1666-01-15"	-111.019
"365"	"Feb"	5	1666	2	"1666-02-15"	-110.988
"1079"	"Apr"	8	1666	4	"1666-04-15"	-110.929
"1793"	"Jun"	15	1666	6	"1666-06-15"	-110.868
"2150"	"Jul"	18	1666	7	"1666-07-15"	-110.838
"2507"	"Aug"	17	1666	8	"1666-08-15"	-110.807
"2864"	"Sep"	14	1666	9	"1666-09-15"	-110.776
"3578"	"Nov"	6	1666	11	"1666-11-15"	-110.715
