sex	diet	weight	start
male	protein1	3.19	0.373
male	protein1	3.15	0.321
male	protein1	2.97	0.445
male	protein1	2.79	0.37
male	protein1	2.5	0.163
male	protein1	2.68	0.396
male	protein1	3.06	0.278
male	protein2	2.77	0.286
male	protein2	2.74	0.299
male	protein2	3.48	0.296
male	protein2	2.85	0.373
male	protein2	3.17	0.279
male	protein2	2.35	0.32
male	protein2	2.3	0.379
female	protein1	2.62	0.401
female	protein1	3.04	0.28
female	protein1	2.69	0.384
female	protein1	3.25	0.209
female	protein1	3.9	0.19
female	protein1	3.35	0.441
female	protein1	2.72	0.341
female	protein1	4.01	0.284
female	protein1	3.73	0.395
female	protein1	2.93	0.394
female	protein2	2.36	0.257
female	protein2	2.77	0.21
female	protein2	3.04	0.238
female	protein2	3.42	0.279
female	protein2	2.82	0.21
female	protein2	3.34	0.223
female	protein2	2.99	0.408
female	protein2	3.81	0.198
female	protein2	2.74	0.478
female	protein2	3.45	0.331
male	lipid1	2.02	0.261
male	lipid1	1.9	0.328
male	lipid1	1.83	0.247
male	lipid1	1.26	0.456
male	lipid1	1.55	0.15
male	lipid1	1.64	0.215
male	lipid1	1.18	0.394
male	lipid2	2.2	0.237
male	lipid2	1.79	0.255
male	lipid2	1.48	0.228
male	lipid2	1.62	0.174
male	lipid2	1.38	0.358
male	lipid2	1.54	0.392
male	lipid2	1.89	0.279
male	ctrl	1.06	0.359
male	ctrl	0.89	0.269
male	ctrl	0.91	0.236
male	ctrl	0.84	0.304
male	ctrl	0.89	0.257
male	ctrl	1.05	0.254
male	ctrl	0.92	0.281
female	lipid1	2.3	0.148
female	lipid1	2.29	0.349
female	lipid1	1.63	0.487
female	lipid1	1.89	0.414
female	lipid1	1.19	0.195
female	lipid1	1.59	0.279
female	lipid1	2.02	0.233
female	lipid1	1.44	0.271
female	lipid1	1.66	0.419
female	lipid1	1.22	0.152
female	lipid2	1.74	0.322
female	lipid2	1.46	0.231
female	lipid2	1.65	0.267
female	lipid2	1.23	0.165
female	lipid2	1.3	0.172
female	lipid2	1.47	0.416
female	lipid2	1.44	0.473
female	lipid2	2.42	0.257
female	lipid2	1.54	0.175
female	lipid2	1.44	0.239
female	ctrl	0.83	0.45
female	ctrl	0.88	0.38
female	ctrl	0.95	0.213
female	ctrl	1.17	0.165
female	ctrl	0.81	0.418
female	ctrl	0.86	0.187
female	ctrl	1.11	0.297
female	ctrl	0.93	0.3
female	ctrl	0.94	0.146
female	ctrl	1.19	0.254
