x	y	size	variety
0.1	0.7	6	A
0.2	2	6.4	A
0.3	4.3	7.8	B
0.4	4.8	13.4	B
0.5	5.2	12.8	B
0.6	5.9	13.9	B
0.7	1.6	9.1	A
0.8	2.4	9.8	B
0.9	3.4	10.1	A
1	3.8	12.8	A
1.1	5.1	17.6	B
1.2	6.1	14.5	B
1.3	6.3	20.2	A
1.4	6.6	20.6	B
1.5	0.4	5.2	B
1.6	2.1	4.9	A
1.7	3	2.5	A
1.8	3.2	9.3	B
1.9	5.3	15.4	A
2	6.4	25.9	B
2.1	6.5	21.8	B
2.2	6.8	18.9	B
2.3	0.3	6.3	B
2.4	0.6	3.2	A
2.5	0.8	10.7	A
2.6	1.3	6.6	B
2.7	2.8	9.5	A
2.8	1	6.6	B
2.9	4	6.6	A
3	4.4	5	A
3.1	4.6	1.2	A
3.2	4.9	1.6	A
3.3	6.7	14.3	B
3.4	7	17.5	B
3.5	0.2	24.1	B
3.6	0.9	20.8	B
3.7	1.1	14.7	B
3.8	1.2	14.4	A
3.9	4.2	7.9	B
4	4.5	7.9	A
4.1	5	2.7	A
4.2	6.2	10.6	A
4.3	0.1	18.7	B
4.4	1.8	20.4	B
4.5	0.5	27.8	B
4.6	2.6	13.5	A
4.7	3.5	1.3	A
4.8	3.9	5.3	A
4.9	4.7	1.5	A
5	1.9	18.5	A
