x	month	year
40.6	1	1920
40.8	2	1920
44.4	3	1920
46.7	4	1920
54.1	5	1920
58.5	6	1920
57.7	7	1920
56.4	8	1920
54.3	9	1920
50.5	10	1920
42.9	11	1920
39.8	12	1920
44.2	1	1921
39.8	2	1921
45.1	3	1921
47	4	1921
54.1	5	1921
58.7	6	1921
66.3	7	1921
59.9	8	1921
57	9	1921
54.2	10	1921
39.7	11	1921
42.8	12	1921
37.5	1	1922
38.7	2	1922
39.5	3	1922
42.1	4	1922
55.7	5	1922
57.8	6	1922
56.8	7	1922
54.3	8	1922
54.3	9	1922
47.1	10	1922
41.8	11	1922
41.7	12	1922
41.8	1	1923
40.1	2	1923
42.9	3	1923
45.8	4	1923
49.2	5	1923
52.7	6	1923
64.2	7	1923
59.6	8	1923
54.4	9	1923
49.2	10	1923
36.3	11	1923
37.6	12	1923
39.3	1	1924
37.5	2	1924
38.3	3	1924
45.5	4	1924
53.2	5	1924
57.7	6	1924
60.8	7	1924
58.2	8	1924
56.4	9	1924
49.8	10	1924
44.4	11	1924
43.6	12	1924
40	1	1925
40.5	2	1925
40.8	3	1925
45.1	4	1925
53.8	5	1925
59.4	6	1925
63.5	7	1925
61	8	1925
53	9	1925
50	10	1925
38.1	11	1925
36.3	12	1925
39.2	1	1926
43.4	2	1926
43.4	3	1926
48.9	4	1926
50.6	5	1926
56.8	6	1926
62.5	7	1926
62	8	1926
57.5	9	1926
46.7	10	1926
41.6	11	1926
39.8	12	1926
39.4	1	1927
38.5	2	1927
45.3	3	1927
47.1	4	1927
51.7	5	1927
55	6	1927
60.4	7	1927
60.5	8	1927
54.7	9	1927
50.3	10	1927
42.3	11	1927
35.2	12	1927
40.8	1	1928
41.1	2	1928
42.8	3	1928
47.3	4	1928
50.9	5	1928
56.4	6	1928
62.2	7	1928
60.5	8	1928
55.4	9	1928
50.2	10	1928
43	11	1928
37.3	12	1928
34.8	1	1929
31.3	2	1929
41	3	1929
43.9	4	1929
53.1	5	1929
56.9	6	1929
62.5	7	1929
60.3	8	1929
59.8	9	1929
49.2	10	1929
42.9	11	1929
41.9	12	1929
41.6	1	1930
37.1	2	1930
41.2	3	1930
46.9	4	1930
51.2	5	1930
60.4	6	1930
60.1	7	1930
61.6	8	1930
57	9	1930
50.9	10	1930
43	11	1930
38.8	12	1930
37.1	1	1931
38.4	2	1931
38.4	3	1931
46.5	4	1931
53.5	5	1931
58.4	6	1931
60.6	7	1931
58.2	8	1931
53.8	9	1931
46.6	10	1931
45.5	11	1931
40.6	12	1931
42.4	1	1932
38.4	2	1932
40.3	3	1932
44.6	4	1932
50.9	5	1932
57	6	1932
62.1	7	1932
63.5	8	1932
56.3	9	1932
47.3	10	1932
43.6	11	1932
41.8	12	1932
36.2	1	1933
39.3	2	1933
44.5	3	1933
48.7	4	1933
54.2	5	1933
60.8	6	1933
65.5	7	1933
64.9	8	1933
60.1	9	1933
50.2	10	1933
42.1	11	1933
35.8	12	1933
39.4	1	1934
38.2	2	1934
40.4	3	1934
46.9	4	1934
53.4	5	1934
59.6	6	1934
66.5	7	1934
60.4	8	1934
59.2	9	1934
51.2	10	1934
42.8	11	1934
45.8	12	1934
40	1	1935
42.6	2	1935
43.5	3	1935
47.1	4	1935
50	5	1935
60.5	6	1935
64.6	7	1935
64	8	1935
56.8	9	1935
48.6	10	1935
44.2	11	1935
36.4	12	1935
37.3	1	1936
35	2	1936
44	3	1936
43.9	4	1936
52.7	5	1936
58.6	6	1936
60	7	1936
61.1	8	1936
58.1	9	1936
49.6	10	1936
41.6	11	1936
41.3	12	1936
40.8	1	1937
41	2	1937
38.4	3	1937
47.4	4	1937
54.1	5	1937
58.6	6	1937
61.4	7	1937
61.8	8	1937
56.3	9	1937
50.9	10	1937
41.4	11	1937
37.1	12	1937
42.1	1	1938
41.2	2	1938
47.3	3	1938
46.6	4	1938
52.4	5	1938
59	6	1938
59.6	7	1938
60.4	8	1938
57	9	1938
50.7	10	1938
47.8	11	1938
39.2	12	1938
39.4	1	1939
40.9	2	1939
42.4	3	1939
47.8	4	1939
52.4	5	1939
58	6	1939
60.7	7	1939
61.8	8	1939
58.2	9	1939
46.7	10	1939
46.6	11	1939
37.8	12	1939
